a|ア
i|イ
u|ウ
e|エ
o|オ
xa|ァ
xi|ィ
xu|ゥ
xe|ェ
xo|ォ
la|ァ
li|ィ
lu|ゥ
le|ェ
lo|ォ
wha|ウァ
whi|ウィ
wi|ウィ
whe|ウェ
we|ウェ
who|ヲ
ka|カ
ki|キ
ku|ク
ke|ケ
ko|コ
ca|カ
cu|ク
qu|ク
co|コ
ga|ガ
gi|ギ
gu|グ
ge|ゲ
go|ゴ
kya|キャ
kyi|キィ
kyu|キュ
kye|キェ
kyo|キョ
gya|ギャ
gyi|ギィ
gyu|ギュ
gye|ギェ
gyo|ギョ
sa|サ
si|シ
su|ス
se|セ
so|ソ
za|ザ
zi|ジ
ji|ジ
zu|ズ
ze|ゼ
zo|ゾ
sya|シャ
sha|シャ
syi|シィ
syu|シュ
shu|シュ
sye|シェ
she|シェ
syo|ショ
sho|ショ
zya|ジャ
jya|ジャ
ja|ジャ
zyi|ジィ
jyi|ジィ
zyu|ジュ
jyu|ジュ
ju|ジュ
zye|ジェ
jye|ジェ
je|ジェ
zyo|ジョ
jyo|ジョ
jo|ジョ
ta|タ
ti|チ
tu|ツ
te|テ
to|ト
da|ダ
di|ヂ
de|デ
do|ド
tya|チャ
cha|チャ
cya|チャ
tyi|チィ
tyu|チュ
chu|チュ
cyu|チュ
tye|チェ
che|チェ
cye|チェ
tyo|チョ
cho|チョ
cyo|チョ
na|ナ
ni|ニ
nu|ヌ
ne|ネ
no|ノ
nya|ニャ
nyi|ニィ
nyu|ニュ
nye|ニェ
nyo|ニョ
ha|ハ
hi|ヒ
hu|フ
he|ヘ
ho|ホ
ba|バ
pa|パ
bi|ビ
pi|ピ
bu|ブ
pu|プ
be|ベ
pe|ペ
bo|ボ
po|ポ
hya|ヒャ
hyi|ヒィ
hyu|ヒュ
hye|ヒェ
hyo|ヒョ
fwa|ファ
fa|ファ
fwi|フィ
fi|フィ
fyi|フィ
fwu|フゥ
fwe|フェ
fe|フェ
fye|フェ
fwo|フォ
fo|フォ
bya|ビャ
byi|ビィ
byu|ビュ
bye|ビェ
byo|ビョ
va|ヴァ
vi|ヴィ
ve|ヴェ
vo|ヴォ
pya|ピャ
pyi|ピィ
pyu|ピュ
pye|ピェ
pyo|ピョ
ma|マ
mi|ミ
mu|ム
me|メ
mo|モ
mya|ミャ
myi|ミィ
myu|ミュ
mye|ミェ
myo|ミョ
ya|ヤ
yu|ユ
yo|ヨ
xya|ャ
lya|ャ
xyu|ュ
lyu|ュ
xyo|ョ
lyo|ョ
ra|ラ
ri|リ
ru|ル
re|レ
ro|ロ
rya|リャ
ryi|リィ
ryu|リュ
rye|リェ
ryo|リョ
wa|ワ
wo|ヲ
nn|ン
xn|ン
.|。
,|、
!|！
?|？
-|ー
