
welcome to old school runescape.|オールドスクールRuneScapeへようこそ。
a wooden barrel for storage.|貯蔵用の木製の樽。
click here to continue|続きはこちら
hey there.|やあ。
group iron tutor|グループ・アイアン・チューター
hail, group iron man! my name is tony, and i'm here to teach you everything you need to know about group iron men. what can i do for you?|グループ・アイアンマン万歳！私の名前はトニー。グループ・アイアンマンについて知っておかなければならないことをすべて教えよう。私に何ができる？
select an option|オプションを選択
what is a group iron man?|グループの鉄人とは？
how do i join or create a group?|グループに参加または作成するにはどうすればよいですか？
how do i leave a group?|グループを脱退するには？
can i change my group iron mode?|グループアイアンのモードを変更できますか？
i'm fine, thanks.|大丈夫だ、ありがとう。
here is the iron ore for the arrows.|これが矢に使う鉄鉱石だ。
thanks, i'll get right to arrow making.|ありがとう、さっそく矢を作るよ。
