coins|コイン
Accept aid|手助け承認
Accept trade delay|交換成立まで遅延
Activities|活動
Always|常に
Always empty bolt pouches on death|死後必ずボルト入れを空ける
Always empty essence pouches on death|死後必ずエッセンス入れを空ける
Always empty herb sacks on death|死後必ずハーブ入れを空ける
Always empty rune pouches on death|死後必ずルーン入れを空ける
Always empty seed boxes on death|死後必ず種箱を空ける
Always empty tackle boxes on death|死後必ずタックル箱を空ける
Ammo-picking behaviour|弾薬の拾い方
Area sound volume|周囲の音量
Audio|音声
Auto chat|声
Beta Worlds|ベータサーバ
Block spontaneous pop-up promotional messages|ポップアップ広告をブロック
Broadcast|全体放送
Camera Effects|カメラの効果
Camera zoom distance|カメラズーム距離
Casting Alchemy spells on Untradeable items always triggers a warning|錬金術を交換不可アイテムに唱えた場合は警告する
Change the level of brightness to make the world look lighter or darker.|視界の明るさを調整
Charter Ships confirmation|船搭乗時の確認
Chat|チャット
Chat Colour - Opaque|チャット：不透明
Chat Colour - Split|チャット：分ける
Chat Colour - Transparent|チャット：透明
Chat box scrollbar position|チャット：スクロール位置
Chatbox Mode - Set Automatically|チャットボックスモード：自動
Clan Broadcasts|チャットの全体放送
Clan chat|クランチャット
Classic|クラシック
Clear your highlighted NPCs|NPCの強調表示を解除
Click through transparent chatbox|透明なチャットボックスを通してクリック
Collection log - New addition notification|収集ログ：新規追加通知
Collection log - New addition popup|収集ログ：新規追加ポップアップ
Combat|戦闘
Combat Achievement Tasks - Completion popup|戦闘功績のタスク：達成ポップアップ
Combat Achievement Tasks - Failure|戦闘功績のタスク：失敗を通知
Combat Achievement Tasks - Repeat completion|戦闘功績のタスク：達成を複数回通知
Combat Achievement Tasks - Repeat failure|戦闘功績のタスク：失敗を複数回通知
Compact boss health overlay|ボス体力のコンパクト表示
Completed quest text colour|達成クエストの色
Confirmations|確認
Control Options|操作設定
Controls|操作
Convert save to beta worlds|最新データをベータサーバに保存
Ctrl+click to invert run mode|CTRL+クリックで走る・歩くを反転
Deep Wilderness lever default option|ウィルダネス深部レバーの即値
Default|即値
Depends on combat levels|戦闘レベル依存
Determines how quests that you lack the recommended stats for are shown.|推奨レベル不足のクエストの表示設定
Determines how quests that you lack the requirements for are shown.|必要レベル不足のクエストの表示設定
Determines how values are displayed on the health overlay.|体力オーバーレイの数値の表示設定
Determines how your quest list should be sorted.|クエスト一覧の並び順
Determines the size of the text in your quest list.|クエスト一覧のテキストの大きさ
Determines the text colour for completed quests in your quest list.|クエスト一覧の達成済クエストの表示設定
Determines the text colour for quests in progress in your quest list.|クエスト一覧の進行中クエストの表示設定
Determines the text colour for unavailable quests in your quest list.|クエスト一覧の開始不可クエストの表示設定
Determines the text colour for unstarted quests in your quest list.|クエスト一覧の未開始クエストの表示設定
